RUTAS,00-01h,01-02h,02-03h,03-04h,04-05h,05-06h,06-07h,07-08h,08-09h,09-10h,10-11h,11-12h,12-13h,13-14h,14-15h,15-16h,16-17h,17-18h,18-19h,19-20h,20-21h,21-22h,22-23h,23-00h,Total
1,32,14,8,6,7,12,49,147,175,160,142,148,150,160,187,161,128,146,159,163,144,104,68,50,2520
2,41,21,13,9,8,12,36,138,175,128,118,134,148,162,189,158,127,137,145,143,136,103,69,56,2406
5,16,8,6,5,6,22,63,119,126,118,107,112,112,114,127,116,96,96,106,102,87,63,41,28,1796
6,34,16,11,8,8,16,50,104,121,107,102,114,124,134,152,133,111,110,114,114,114,92,66,48,2003
7,28,12,6,5,10,26,65,139,151,139,121,125,125,138,153,142,118,123,133,138,128,99,64,45,2233
8,33,14,7,5,10,20,50,104,125,108,106,119,124,137,155,128,109,114,122,122,118,94,64,49,2037
9,29,16,10,7,9,18,53,163,184,149,136,139,139,147,163,130,116,126,133,146,139,106,68,46,2372
10,42,24,15,11,11,15,37,97,101,95,84,88,98,118,142,126,98,102,107,111,117,98,68,55,1860
11,30,14,8,5,8,20,83,198,157,171,154,149,149,178,192,164,158,175,187,184,163,129,80,46,2802
12,60,28,15,9,8,16,46,121,165,143,143,167,191,226,283,232,150,137,168,178,170,160,109,81,3006
13,20,12,7,5,5,8,28,79,83,75,63,65,65,69,75,64,62,69,71,73,72,55,35,28,1188
14,18,8,4,3,2,4,13,41,60,50,48,55,62,81,115,92,55,59,68,70,70,58,33,25,1094
17,22,11,7,5,5,11,34,77,96,84,77,85,93,103,129,106,73,78,87,92,92,68,47,33,1515
18,20,11,6,5,5,13,41,114,123,102,91,97,100,107,114,90,73,86,98,102,94,73,47,31,1643
21,22,13,9,7,7,9,31,92,121,109,96,99,94,92,107,100,93,102,105,102,97,72,44,33,1656
22,34,18,12,9,8,11,33,91,115,102,94,103,108,116,133,116,91,98,105,106,105,85,58,47,1798
24,29,18,12,9,9,16,47,105,120,95,99,113,115,120,136,119,94,100,106,108,106,85,58,45,1864
25,42,24,16,12,11,16,50,154,177,161,152,163,164,166,177,153,133,144,151,153,146,115,77,63,2620
26,54,32,22,16,13,15,39,125,171,151,149,164,171,177,205,181,143,149,159,159,155,124,87,71,2732
30,7,3,2,1,1,2,6,31,51,42,37,40,38,38,45,38,32,35,36,35,31,23,14,11,599
32,15,7,4,3,2,4,14,32,47,44,38,43,47,55,62,50,40,40,43,46,47,38,26,19,766
33,12,7,4,3,4,8,26,68,82,77,75,74,69,62,64,54,52,51,54,60,54,42,27,18,1047
34,9,6,4,3,3,4,9,25,38,34,38,41,41,43,48,38,31,31,34,34,31,24,16,12,597
38,10,5,3,2,2,5,18,48,56,50,46,48,49,52,60,51,42,46,49,50,48,39,24,17,820
39,14,7,5,3,3,5,18,44,50,44,44,47,51,54,61,53,42,44,48,51,51,41,28,22,830
42,10,6,3,3,5,13,38,68,68,53,48,52,54,60,70,59,47,48,48,48,46,34,22,16,919
43,13,7,4,3,4,8,20,58,69,61,54,58,60,65,71,63,53,58,62,64,58,43,28,20,1004
45,17,8,4,4,6,16,51,143,156,125,94,97,102,117,147,129,101,110,114,112,99,70,42,27,1891
46,23,11,7,5,6,16,72,170,166,138,113,119,119,131,166,146,112,123,131,133,123,88,53,37,2208
47,27,12,7,5,5,10,42,114,141,113,99,108,118,139,165,143,109,114,125,130,129,94,56,40,2045
50,25,12,6,5,5,14,42,102,125,104,88,96,106,129,167,146,100,102,117,122,117,94,64,39,1927
51,18,10,6,4,5,16,48,114,121,99,85,92,93,104,121,106,89,94,100,104,93,70,44,32,1668
53,67,39,25,19,17,24,64,158,144,121,105,108,134,174,205,188,153,162,176,184,192,161,112,87,2819
59,26,12,8,6,6,13,49,131,156,110,92,99,107,130,163,134,96,105,117,119,122,87,52,38,1978
72,52,29,23,25,42,108,277,338,329,286,261,283,293,316,331,303,256,258,262,254,241,197,135,90,4989
73,46,23,15,11,16,51,152,257,265,233,217,226,233,256,289,275,219,218,230,227,215,162,114,77,4027
74,55,29,20,19,27,55,150,229,211,206,185,196,205,225,254,240,194,201,212,204,197,164,120,85,3683
78,13,7,4,3,4,8,37,132,174,114,80,77,78,83,108,93,70,70,75,71,68,49,31,20,1469
83,8,5,3,2,2,4,13,33,39,36,32,34,35,39,43,37,31,31,32,33,31,24,16,12,575
84,13,7,4,3,3,8,21,64,76,62,54,57,59,65,80,67,49,52,56,60,54,42,28,20,1004
87,4,2,2,1,1,2,10,31,36,33,32,32,32,32,36,29,21,23,24,25,22,14,9,8,461
88,9,5,3,2,3,8,29,84,83,63,51,53,56,63,73,58,41,48,52,55,49,36,23,14,961
89,37,20,13,8,9,13,43,102,112,109,98,104,104,112,126,108,93,98,103,106,106,89,62,51,1826
90,35,21,14,11,10,16,47,123,140,128,121,128,126,126,136,116,97,104,111,114,110,86,59,48,2027
